Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
Perceptron,0.7374301675977654,0.7342985842985843,0.7342985842985843,0.7385184532095074,0.00725555419921875
QuadraticDiscriminantAnalysis,0.7541899441340782,0.7286357786357787,0.7286357786357787,0.7468753534028452,0.00683283805847168
AdaBoostClassifier,0.7430167597765364,0.7191119691119691,0.7191119691119692,0.7365387698111285,0.08112168312072754
NearestCentroid,0.7318435754189944,0.7175675675675676,0.7175675675675676,0.7299026936291867,0.01038670539855957
KNeighborsClassifier,0.7318435754189944,0.7115830115830116,0.7115830115830116,0.7272606158573953,0.013577699661254883
PassiveAggressiveClassifier,0.7206703910614525,0.706048906048906,0.706048906048906,0.7186486391970694,0.008011341094970703
LGBMClassifier,0.7262569832402235,0.7048262548262548,0.7048262548262548,0.7210558204570782,0.03867077827453613
LinearDiscriminantAnalysis,0.7374301675977654,0.7043758043758044,0.7043758043758045,0.7247127219875551,0.010877847671508789
LinearSVC,0.7374301675977654,0.7043758043758044,0.7043758043758045,0.7247127219875551,0.010653972625732422
RidgeClassifierCV,0.7374301675977654,0.7043758043758044,0.7043758043758045,0.7247127219875551,0.008572578430175781
CalibratedClassifierCV,0.7374301675977654,0.7043758043758044,0.7043758043758045,0.7247127219875551,0.022883892059326172
RidgeClassifier,0.7374301675977654,0.7043758043758044,0.7043758043758045,0.7247127219875551,0.00761866569519043
SVC,0.7430167597765364,0.7031531531531532,0.7031531531531532,0.7245614230605737,0.035762786865234375
SGDClassifier,0.7150837988826816,0.7012870012870013,0.7012870012870013,0.7134157254983551,0.00941157341003418
LogisticRegression,0.7318435754189944,0.6976190476190476,0.6976190476190477,0.7180408586494387,0.011725425720214844
RandomForestClassifier,0.7150837988826816,0.6933075933075933,0.6933075933075933,0.7096703437410404,0.10449910163879395
XGBClassifier,0.7094972067039106,0.6905405405405405,0.6905405405405406,0.7055740793899647,0.032790422439575195
ExtraTreeClassifier,0.7094972067039106,0.6865508365508366,0.6865508365508365,0.7033998999416327,0.007822751998901367
NuSVC,0.7262569832402235,0.6828828828828829,0.6828828828828829,0.7034162258367529,0.06293010711669922
GaussianNB,0.7094972067039106,0.6825611325611325,0.6825611325611326,0.7008526903851808,0.008063554763793945
LabelSpreading,0.7150837988826816,0.6793436293436294,0.6793436293436292,0.699525031544755,0.023374557495117188
ExtraTreesClassifier,0.6927374301675978,0.6782496782496783,0.6782496782496783,0.6909385274982262,0.0838613510131836
LabelPropagation,0.7094972067039106,0.6745817245817246,0.6745817245817246,0.6945442635368919,0.017609596252441406
BernoulliNB,0.6983240223463687,0.6670527670527671,0.667052767052767,0.6862908330351983,0.009236812591552734
BaggingClassifier,0.6703910614525139,0.6492277992277993,0.6492277992277993,0.6653615232020618,0.023394107818603516
DecisionTreeClassifier,0.6424581005586593,0.6194337194337194,0.6194337194337194,0.6363474878098604,0.008787393569946289
DummyClassifier,0.5865921787709497,0.5,0.5,0.4337477378235896,0.0074236392974853516
